titulo,preco,rating,disponibilidade,categoria,imagem_url,id
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,1,In stock,Travel,https://books.toscrape.com/media/cache/01/26/01264865c12ed6d987d6f0858cd1d0ba.jpg,162
Louisa: The Extraordinary Life of Mrs. Adams,16.85,2,In stock,Young Adult,https://books.toscrape.com/media/cache/6f/d9/6fd92e5143cbd5bb8bcf034e5f007dde.jpg,163
Little Red,13.47,3,In stock,Horror,https://books.toscrape.com/media/cache/80/25/8025b80a40178f2a6dd4f99ad88e0fba.jpg,164
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,5,In stock,Default,https://books.toscrape.com/media/cache/f8/54/f85417465a73e33604624205ba8306cc.jpg,165
Large Print Heart of the Pride,19.15,2,In stock,Young Adult,https://books.toscrape.com/media/cache/bd/e9/bde95ab9f776c911a7aa759cad60bb41.jpg,166
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4,In stock,Food and Drink,https://books.toscrape.com/media/cache/5f/72/5f72c8a0d5a7292e2929a354ec8a022f.jpg,167
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,1,In stock,Childrens,https://books.toscrape.com/media/cache/e2/60/e260b008b7ea7970562295b7bc64b0cb.jpg,168
Grumbles,22.16,2,In stock,Womens Fiction,https://books.toscrape.com/media/cache/d6/1b/d61b12ef0e69d49e2645537dd6a8472a.jpg,169
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,In stock,Default,https://books.toscrape.com/media/cache/57/77/57770cac1628f4407636635f4b85e88c.jpg,170
Frostbite (Vampire Academy #2),29.99,5,In stock,Default,https://books.toscrape.com/media/cache/71/76/7176317f1915fa0658bb2fe400441207.jpg,171
Follow You Home,21.36,1,In stock,Fiction,https://books.toscrape.com/media/cache/a7/4b/a74b35375ce874153fd352e33bc7bac9.jpg,172
First Steps for New Christians (Print Edition),29.0,1,In stock,Romance,https://books.toscrape.com/media/cache/f1/73/f1731459b1e2f4becf2c52b8f30b8cd7.jpg,173
Finders Keepers (Bill Hodges Trilogy #2),53.53,5,In stock,Biography,https://books.toscrape.com/media/cache/6a/81/6a81103b1c01a3f6c56e5718a838a4c8.jpg,174
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,In stock,Default,https://books.toscrape.com/media/cache/51/8c/518c184a793b751b43045637c8002eb7.jpg,175
Eureka Trivia 6.0,54.59,4,In stock,Default,https://books.toscrape.com/media/cache/96/17/96173470df6fc6fef4d0008e957653ce.jpg,176
Drive: The Surprising Truth About What Motivates Us,34.95,4,In stock,Add a comment,https://books.toscrape.com/media/cache/8a/49/8a490347afdc10abe7c2099e466de32f.jpg,177
Done Rubbed Out (Reightman & Bailey #1),37.72,5,In stock,Default,https://books.toscrape.com/media/cache/08/4d/084da0199a717cb6c1eda30f98d0ea4c.jpg,178
Doing It Over (Most Likely To #1),35.61,3,In stock,Default,https://books.toscrape.com/media/cache/e9/25/e9250495a525eb203652ad9da85ccb8e.jpg,179
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3,In stock,Fantasy,https://books.toscrape.com/media/cache/20/f2/20f28657b49f8cb24ed2ec6448bb6df3.jpg,180
In Her Wake,12.84,1,In stock,Art,https://books.toscrape.com/media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg,181
How Music Works,37.32,2,In stock,Default,https://books.toscrape.com/media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg,182
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,In stock,Nonfiction,https://books.toscrape.com/media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg,183
Chase Me (Paris Nights #2),25.27,5,In stock,Music,https://books.toscrape.com/media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg,184
Black Dust,34.53,5,In stock,Childrens,https://books.toscrape.com/media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg,185
Birdsong: A Story in Pictures,54.64,3,In stock,Spirituality,https://books.toscrape.com/media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg,186
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,In stock,Childrens,https://books.toscrape.com/media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg,187
Aladdin and His Wonderful Lamp,53.13,3,In stock,Thriller,https://books.toscrape.com/media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg,188
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,In stock,Romance,https://books.toscrape.com/media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg,189
Wall and Piece,44.18,4,In stock,Nonfiction,https://books.toscrape.com/media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg,190
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,In stock,Food and Drink,https://books.toscrape.com/media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg,191
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,In stock,Default,https://books.toscrape.com/media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg,192
The Elephant Tree,23.82,5,In stock,Mystery,https://books.toscrape.com/media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg,193
The Bear and the Piano,36.89,1,In stock,Poetry,https://books.toscrape.com/media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg,194
Sophie's World,15.94,5,In stock,Philosophy,https://books.toscrape.com/media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg,195
Penny Maybe,33.29,3,In stock,Default,https://books.toscrape.com/media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg,196
Maude (1883-1993):She Grew Up with the country,18.02,2,In stock,Thriller,https://books.toscrape.com/media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg,197
"In a Dark, Dark Wood",19.63,1,In stock,Default,https://books.toscrape.com/media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg,198
Behind Closed Doors,52.22,4,In stock,Thriller,https://books.toscrape.com/media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg,199
You can't bury them all: Poems,33.63,2,In stock,Romance,https://books.toscrape.com/media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg,200
The Midnight Watch: A Novel of the Titanic and the Californian,26.2,1,In stock,Add a comment,https://books.toscrape.com/media/cache/97/3a/973a2c3462a18fc90d3b9662d959df37.jpg,201
The Lonely City: Adventures in the Art of Being Alone,33.26,2,In stock,Young Adult,https://books.toscrape.com/media/cache/5c/5e/5c5e527fea6b17199773bb175b515aee.jpg,202
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,4,In stock,Fiction,https://books.toscrape.com/media/cache/9f/25/9f255826f354776dda9afbd5576a7add.jpg,203
The Golden Condom: And Other Essays on Love Lost and Found,39.43,1,In stock,Psychology,https://books.toscrape.com/media/cache/dc/4d/dc4d070e33813a07a4e02f069e6d482f.jpg,204
The Epidemic (The Program 0.6),14.44,5,In stock,Young Adult,https://books.toscrape.com/media/cache/87/cd/87cd652c35e2a78535c83becae33cff2.jpg,205
The Dinner Party,56.54,2,In stock,Nonfiction,https://books.toscrape.com/media/cache/ba/76/ba761d23c5c0e5a0638e04739c69c5d0.jpg,206
The Diary of a Young Girl,59.9,3,In stock,Nonfiction,https://books.toscrape.com/media/cache/83/d5/83d5526864a108d27fd4b03dd31ec18b.jpg,207
The Children,11.88,3,In stock,Horror,https://books.toscrape.com/media/cache/d8/03/d803ab341d3020a3bb280d6135e4ae65.jpg,208
Stars Above (The Lunar Chronicles #4.5),48.05,2,In stock,Business,https://books.toscrape.com/media/cache/fd/5b/fd5b14399052ab552e240ed18ab03c6d.jpg,209
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,3,In stock,Add a comment,https://books.toscrape.com/media/cache/2a/f3/2af39796852729270fb23e05a662a42c.jpg,210
Raspberry Pi Electronics Projects for the Evil Genius,49.67,4,In stock,Mystery,https://books.toscrape.com/media/cache/a2/da/a2da8957b9cb8265d7f1dfeb0651f1c7.jpg,211
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,1,In stock,Historical Fiction,https://books.toscrape.com/media/cache/2d/fd/2dfdc52bcdbd82dee50372bc46c83e15.jpg,212
Psycho: Sanitarium (Psycho #1.5),36.97,5,In stock,Add a comment,https://books.toscrape.com/media/cache/02/5c/025c30a378e2a4190e84f1429e81b803.jpg,213
Poisonous (Max Revere Novels #3),26.8,3,In stock,Add a comment,https://books.toscrape.com/media/cache/23/52/2352718971d5e166fa9541a5a7d716fa.jpg,214
One with You (Crossfire #5),15.71,4,In stock,Nonfiction,https://books.toscrape.com/media/cache/b8/29/b829181ae95c8f020c1ad3273192de30.jpg,215
No Love Allowed (Dodge Cove #1),54.65,4,In stock,Mystery,https://books.toscrape.com/media/cache/70/3e/703e053877204a396ec6e7beac863118.jpg,216
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,In stock,Young Adult,https://books.toscrape.com/media/cache/c3/8d/c38d65cd155b67ca025f0655bd1bb095.jpg,217
Most Wanted,35.28,3,In stock,Mystery,https://books.toscrape.com/media/cache/8b/bc/8bbc5ab4c3784b4d9b93eb0fd1fb6fd6.jpg,218
"Love, Lies and Spies",20.55,2,In stock,Default,https://books.toscrape.com/media/cache/7a/22/7a224a6e174af91950e9b124afe54e0e.jpg,219
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,5,In stock,Default,https://books.toscrape.com/media/cache/d2/64/d264ad1af882ce391005dc7215ac90e7.jpg,220
Swell: A Year of Waves,45.58,1,In stock,Nonfiction,https://books.toscrape.com/media/cache/10/28/1028b2cf417e49dc1c14609e437a98e0.jpg,221
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,In stock,Fiction,https://books.toscrape.com/media/cache/7e/c0/7ec0e9ca6153a23b2024b7df7407ee84.jpg,222
Still Life with Bread Crumbs,26.41,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/8e/c7/8ec7f310b74ddd7ec3c859e9b0da7389.jpg,223
Steve Jobs,39.5,5,In stock,Default,https://books.toscrape.com/media/cache/86/31/86313c225719ac946894d780c4ff0839.jpg,224
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4,In stock,Fiction,https://books.toscrape.com/media/cache/68/ca/68caaf9ac41964d5167a3eb67c638393.jpg,225
Someone Like You (The Harrisons #2),52.79,5,In stock,Contemporary,https://books.toscrape.com/media/cache/e3/d0/e3d05227f3fc24f0e0c84ccebe108fb0.jpg,226
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/b2/48/b2484d13793ff1c4271a3d4023d4d24e.jpg,227
Shtum,55.84,4,In stock,Poetry,https://books.toscrape.com/media/cache/03/16/0316bb6f4785ac69c0643109201bad5d.jpg,228
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/9a/7e/9a7e63f12829df4b43b31d110bf3dc2e.jpg,229
salt.,46.78,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/3f/41/3f4160ada0b16e3c64cd2d0dffe781c8.jpg,230
Robin War,47.82,3,In stock,Nonfiction,https://books.toscrape.com/media/cache/45/1d/451d3543022242b8b245793e6b5c26bb.jpg,231
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,In stock,Horror,https://books.toscrape.com/media/cache/da/78/da78757466c3b0a2c89f0ddf6b5e642f.jpg,232
Rain Fish,23.57,3,In stock,Childrens,https://books.toscrape.com/media/cache/bb/e2/bbe26db72b8a32117bfe4981b7cc8147.jpg,233
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,5,In stock,Travel,https://books.toscrape.com/media/cache/c8/f2/c8f297fab080ddd02b3ed5c17b83af85.jpg,234
Pet Sematary,10.56,3,In stock,Poetry,https://books.toscrape.com/media/cache/7a/72/7a72465b21dbf998323e37b31f9a3f4a.jpg,235
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,3,In stock,Science,https://books.toscrape.com/media/cache/9c/da/9cda4893c7fce0c1c8eaa34fb092aa04.jpg,236
Once Was a Time,18.28,2,In stock,Self Help,https://books.toscrape.com/media/cache/97/12/971212afa8e4ff49d92f678bc889d8b7.jpg,237
Old School (Diary of a Wimpy Kid #10),11.83,5,In stock,Childrens,https://books.toscrape.com/media/cache/df/5d/df5d172abe87deda6d533e3e908d27d8.jpg,238
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2,In stock,Humor,https://books.toscrape.com/media/cache/b5/6f/b56ff04effb66fe701a22abd4a7f1667.jpg,239
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/c8/22/c822360ce0f91c40f7a0491c22287646.jpg,240
The Power of Habit: Why We Do What We Do in Life and Business,16.88,3,In stock,Default,https://books.toscrape.com/media/cache/52/df/52dfc44f48cf29e7a9e305bcb63e1899.jpg,241
The Marriage of Opposites,28.08,4,In stock,Fantasy,https://books.toscrape.com/media/cache/0f/c2/0fc21ec3489cb23116778ee84f425eca.jpg,242
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,1,In stock,Psychology,https://books.toscrape.com/media/cache/a6/c8/a6c8256b123493472591c5855c7de704.jpg,243
The Long Haul (Diary of a Wimpy Kid #9),44.07,1,In stock,Historical Fiction,https://books.toscrape.com/media/cache/46/bd/46bdee520b8136972262fd040533772d.jpg,244
The Loney,23.4,1,In stock,Humor,https://books.toscrape.com/media/cache/6d/10/6d10387a0175701d4ff456a0c7eee67b.jpg,245
The Literature Book (Big Ideas Simply Explained),17.43,3,In stock,Horror,https://books.toscrape.com/media/cache/9e/ea/9eea51ac4a15d18aa976be459da30c47.jpg,246
The Last Mile (Amos Decker #2),54.21,2,In stock,Young Adult,https://books.toscrape.com/media/cache/37/f1/37f118b4a56d866e1e8b563759d6966c.jpg,247
The Immortal Life of Henrietta Lacks,40.67,2,In stock,Mystery,https://books.toscrape.com/media/cache/94/ac/94ac87da7b40853013093f08356efa3b.jpg,248
The Hidden Oracle (The Trials of Apollo #1),52.26,2,In stock,Add a comment,https://books.toscrape.com/media/cache/b4/67/b467a4f01ca6ae8464b9425a156c7c32.jpg,249
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,3,In stock,Add a comment,https://books.toscrape.com/media/cache/c4/dc/c4dcec6f513eaca3f0f3c748d834c46d.jpg,250
The Guilty (Will Robie #4),13.82,2,In stock,Thriller,https://books.toscrape.com/media/cache/76/de/76deee06ffe45e646c0113af01f4f401.jpg,251
The First Hostage (J.B. Collins #2),25.85,3,In stock,Nonfiction,https://books.toscrape.com/media/cache/38/34/3834572e651cdc14b18d348fa4875aa9.jpg,252
The Dovekeepers,48.78,1,In stock,Food and Drink,https://books.toscrape.com/media/cache/8f/3f/8f3f4d67e30a8129577ccc4664998345.jpg,253
The Darkest Lie,35.35,5,In stock,Fiction,https://books.toscrape.com/media/cache/1d/3c/1d3c05b772ab846c111970232360d2c5.jpg,254
The Bane Chronicles (The Bane Chronicles #1-11),44.73,4,In stock,Thriller,https://books.toscrape.com/media/cache/9a/33/9a333c4a06ce187c5c9d2f5969ddcac2.jpg,255
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,1,In stock,Mystery,https://books.toscrape.com/media/cache/88/90/8890073a9c9e3bb696f6baa84fb4dd95.jpg,256
The 14th Colony (Cotton Malone #11),39.24,1,In stock,Fantasy,https://books.toscrape.com/media/cache/d9/1a/d91aae72af6c1cb2c63163acabe7895c.jpg,257
That Darkness (Gardiner and Renner #1),13.92,1,In stock,Mystery,https://books.toscrape.com/media/cache/44/9e/449ed681142bc336646abee754e96639.jpg,258
Tastes Like Fear (DI Marnie Rome #3),10.69,1,In stock,Nonfiction,https://books.toscrape.com/media/cache/3c/91/3c91d97266bd6dda322089695fb46daf.jpg,259
Take Me with You,45.21,3,In stock,Fiction,https://books.toscrape.com/media/cache/d8/a4/d8a44eda7cbe7bd1207f868e9adc06f3.jpg,260
Code Name Verity (Code Name Verity #1),22.13,4,In stock,Add a comment,https://books.toscrape.com/media/cache/f5/58/f55886d1bf600529a35e1bd932c78ca0.jpg,261
Clockwork Angel (The Infernal Devices #1),44.14,1,In stock,Fantasy,https://books.toscrape.com/media/cache/ff/0e/ff0ee0002f510112b6d7a88f53366e1d.jpg,262
City of Glass (The Mortal Instruments #3),56.02,4,In stock,Young Adult,https://books.toscrape.com/media/cache/00/08/0008e65aa431ed3625ad3a4352f8e90d.jpg,263
City of Fallen Angels (The Mortal Instruments #4),11.23,4,In stock,Default,https://books.toscrape.com/media/cache/c9/40/c940b6c329ecc39aaed2ab0140592a4b.jpg,264
City of Bones (The Mortal Instruments #1),43.28,1,In stock,Default,https://books.toscrape.com/media/cache/96/af/96af4aaf25ab49b057c10b5b7eb7652c.jpg,265
City of Ashes (The Mortal Instruments #2),47.27,1,In stock,Default,https://books.toscrape.com/media/cache/68/da/68dab382d535305ca6025be9921df0d1.jpg,266
Cell,20.29,4,In stock,Add a comment,https://books.toscrape.com/media/cache/0b/97/0b97282ed82b771ed328e05386a84adb.jpg,267
Catching Jordan (Hundred Oaks),50.83,3,In stock,Default,https://books.toscrape.com/media/cache/ad/ac/adac97366586d261feab30bf5220756e.jpg,268
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/dd/f5/ddf5da673bb34a74a81faf7271c7ca13.jpg,269
Carrie,46.23,2,In stock,Nonfiction,https://books.toscrape.com/media/cache/c5/6f/c56f37eb53888765eb55f86fb7381c2f.jpg,270
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,4,In stock,Nonfiction,https://books.toscrape.com/media/cache/f2/fa/f2faa289117546efa0b4068a07778ab0.jpg,271
Brain on Fire: My Month of Madness,49.32,5,In stock,Sequential Art,https://books.toscrape.com/media/cache/88/aa/88aad1204951e0900906173b086e6695.jpg,272
Batman: Europa,32.01,2,In stock,Default,https://books.toscrape.com/media/cache/f1/fe/f1fecf0ce9b5771e4d2c9619e8550988.jpg,273
Barefoot Contessa Back to Basics,28.01,1,In stock,Young Adult,https://books.toscrape.com/media/cache/b8/38/b838b65e0e1ac3a9b498dfb1bf004420.jpg,274
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,5,In stock,Food and Drink,https://books.toscrape.com/media/cache/74/aa/74aa29b1ba4147eaf5b46671bf235861.jpg,275
Balloon Animals,17.03,3,In stock,Add a comment,https://books.toscrape.com/media/cache/6e/23/6e2324cae6335e8e98c8b46597afc9a3.jpg,276
Art Ops Vol. 1,48.8,3,In stock,Food and Drink,https://books.toscrape.com/media/cache/0b/b4/0bb4c64f1522c033368df5567a349472.jpg,277
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,4,In stock,Fiction,https://books.toscrape.com/media/cache/61/1a/611aba0ef5b859ba1977ef30677b0194.jpg,278
Angels Walking (Angels Walking #1),34.2,2,In stock,Default,https://books.toscrape.com/media/cache/50/0e/500eeb810e940424827580574e46852c.jpg,279
Angels & Demons (Robert Langdon #1),51.48,3,In stock,Default,https://books.toscrape.com/media/cache/b4/2a/b42a187c37de904f776070c57f51c756.jpg,280
All the Light We Cannot See,29.87,5,In stock,Historical,https://books.toscrape.com/media/cache/41/c3/41c37f7f0e03ee1144dd6fa89483b5d9.jpg,281
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2,In stock,Mystery,https://books.toscrape.com/media/cache/a2/b9/a2b974e5a66e7502c77d2e4632abe033.jpg,282
Abstract City,56.37,5,In stock,Nonfiction,https://books.toscrape.com/media/cache/e7/70/e77019ebd71bcf6badb085bddf47c413.jpg,283
A Time of Torment (Charlie Parker #14),48.35,5,In stock,Sequential Art,https://books.toscrape.com/media/cache/e8/c0/e8c0ba15066bab950ae161fd60949b9a.jpg,284
A Study in Scarlet (Sherlock Holmes #1),16.73,2,In stock,Add a comment,https://books.toscrape.com/media/cache/8f/a4/8fa41d6caa10e427356b8a590eb4d96b.jpg,285
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,2,In stock,Fiction,https://books.toscrape.com/media/cache/9b/20/9b2076ce7414103a093ce2459d089969.jpg,286
A People's History of the United States,40.79,2,In stock,Add a comment,https://books.toscrape.com/media/cache/75/20/75200336c141156746000f7055df344a.jpg,287
A Man Called Ove,39.72,1,In stock,Default,https://books.toscrape.com/media/cache/9c/f1/9cf1f4a47b8d08909fc092e6ae598d83.jpg,288
A Distant Mirror: The Calamitous 14th Century,14.58,3,In stock,Nonfiction,https://books.toscrape.com/media/cache/41/d5/41d5fa6a81cdbcbe6b0b15757a4c9144.jpg,289
A Brush of Wings (Angels Walking #3),55.51,1,In stock,History,https://books.toscrape.com/media/cache/4d/16/4d163d43cb4aa624e599330a39abace5.jpg,290
1491: New Revelations of the Americas Before Columbus,21.8,3,In stock,Mystery,https://books.toscrape.com/media/cache/88/75/8875f384ce9103281b7f6e86a2b8204d.jpg,291
"The Three Searches, Meaning, and the Story",13.33,3,In stock,Add a comment,https://books.toscrape.com/media/cache/83/35/8335b71599b5a257a56cfabdd79080a4.jpg,292
Searching for Meaning in Gailana,38.73,1,In stock,Womens Fiction,https://books.toscrape.com/media/cache/3b/04/3b045fe0394dc192950a0ec9e3812fe4.jpg,293
Rook,37.86,4,In stock,Food and Drink,https://books.toscrape.com/media/cache/55/33/5533595a623c3bb947c4a5171fc2df08.jpg,294
My Kitchen Year: 136 Recipes That Saved My Life,11.53,2,In stock,Science,https://books.toscrape.com/media/cache/76/a1/76a1516c8d9c3e620626f30840013a85.jpg,295
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,1,In stock,Fiction,https://books.toscrape.com/media/cache/15/f7/15f78e0b04feb9b94e88865803cb5e9e.jpg,296
Will You Won't You Want Me?,13.86,3,In stock,Fantasy,https://books.toscrape.com/media/cache/16/e3/16e3ca741956485119251e7442a67e2e.jpg,297
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,1,In stock,Add a comment,https://books.toscrape.com/media/cache/56/97/5697f2f8f628129df01c5790985ffd9b.jpg,298
The Star-Touched Queen,32.3,5,In stock,History,https://books.toscrape.com/media/cache/d3/0d/d30dd8b6be6f9fcfd17178e8083238b6.jpg,299
The Silent Sister (Riley MacPherson #1),46.29,5,In stock,Fantasy,https://books.toscrape.com/media/cache/30/2c/302cd9c84442e139145ec0993880d7e0.jpg,300
My Name Is Lucy Barton,41.56,1,In stock,Fiction,https://books.toscrape.com/media/cache/ca/b1/cab150e556b5fab663a9fec00ed97943.jpg,301
My Mrs. Brown,24.48,3,In stock,Young Adult,https://books.toscrape.com/media/cache/e0/79/e07906c1e507055da9a2260a74f58273.jpg,302
My Kind of Crazy,40.36,1,In stock,Fiction,https://books.toscrape.com/media/cache/46/6e/466e9636819aad1126ac6cefb5313ba8.jpg,303
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,In stock,Fiction,https://books.toscrape.com/media/cache/a7/f0/a7f092a7b79f848df0226f808fed489b.jpg,304
More Than Music (Chasing the Dream #1),37.61,2,In stock,Childrens,https://books.toscrape.com/media/cache/3f/e7/3fe7073a5caac81929524d2d9488f928.jpg,305
Made to Stick: Why Some Ideas Survive and Others Die,38.85,5,In stock,Add a comment,https://books.toscrape.com/media/cache/e2/2e/e22e4a82d97f9f0689d5295a98f5dcff.jpg,306
Luis Paints the World,53.95,3,In stock,Business,https://books.toscrape.com/media/cache/85/e7/85e75d5a9309da5807c82decf3d90263.jpg,307
Luckiest Girl Alive,49.83,3,In stock,Nonfiction,https://books.toscrape.com/media/cache/81/c0/81c0a1ce03db82568e2496db945a8227.jpg,308
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,In stock,Fantasy,https://books.toscrape.com/media/cache/b2/97/b2978e96069dd91785e5ab0bc99c022e.jpg,309
Love Is a Mix Tape (Music #1),18.03,1,In stock,Default,https://books.toscrape.com/media/cache/a2/6d/a26d8449abb3381e09126eda5f4e8151.jpg,310
Looking for Lovely: Collecting the Moments that Matter,29.14,5,In stock,Fiction,https://books.toscrape.com/media/cache/61/1e/611e1804ad968e309a5f788d4ebc1cb4.jpg,311
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,4,In stock,Music,https://books.toscrape.com/media/cache/e9/5e/e95e82f09681709bb0f927341dda274e.jpg,312
Let It Out: A Journey Through Journaling,26.79,5,In stock,Nonfiction,https://books.toscrape.com/media/cache/51/fc/51fcd3e9384894e6a53a753d2ab856ee.jpg,313
Lady Midnight (The Dark Artifices #1),16.28,5,In stock,Default,https://books.toscrape.com/media/cache/89/a6/89a61d48e93bc92537c0a2cb2c0094bb.jpg,314
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,1,In stock,Default,https://books.toscrape.com/media/cache/fe/67/fe67c381d6a0c4c00a7c191d16939554.jpg,315
Island of Dragons (Unwanteds #7),29.65,1,In stock,Humor,https://books.toscrape.com/media/cache/75/b9/75b99691594fde72ccb1831624cfeff6.jpg,316
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4,In stock,Food and Drink,https://books.toscrape.com/media/cache/ea/7b/ea7bcac4b27a5bf6d4f8125bb7af3361.jpg,317
I Am Pilgrim (Pilgrim #1),10.6,4,In stock,Humor,https://books.toscrape.com/media/cache/ed/07/ed07c9e7c53d4f33a6eb7d41eb0e6d4a.jpg,318
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,In stock,Sequential Art,https://books.toscrape.com/media/cache/b5/a9/b5a90d1c36a96513942f006345ace3d2.jpg,319
"Hush, Hush (Hush, Hush #1)",47.02,3,In stock,Default,https://books.toscrape.com/media/cache/2a/b9/2ab91479fe480e964f319fa8ac6991b2.jpg,320
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4,In stock,Nonfiction,https://books.toscrape.com/media/cache/ba/36/ba368dfb2b6ae9979ff59d049c626167.jpg,321
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2,In stock,Nonfiction,https://books.toscrape.com/media/cache/43/b7/43b70859e93901b019791cef86539ffc.jpg,322
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,In stock,Childrens,https://books.toscrape.com/media/cache/66/d6/66d6d2b4c0acfa8f40ad0285186ed2d8.jpg,323
Walt Disney's Alice in Wonderland,12.96,5,In stock,Sequential Art,https://books.toscrape.com/media/cache/28/50/2850439c2ba103fb69dba9cd2dd9f0c2.jpg,324
V for Vendetta (V for Vendetta Complete),37.1,4,In stock,Default,https://books.toscrape.com/media/cache/cc/8f/cc8fb914bfee31a7903a5cabaae64796.jpg,325
Until Friday Night (The Field Party #1),46.31,2,In stock,Nonfiction,https://books.toscrape.com/media/cache/19/cf/19cf50aea5bf0e8f4bc016f3745b3dfe.jpg,326
